locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJIACEAL_00097	CDS	942	rsgA	3.6.1.-		Putative ribosome biogenesis GTPase RsgA
KJIACEAL_00098	CDS	765	murI	5.1.1.3		Glutamate racemase
KJIACEAL_00099	CDS	1386	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
KJIACEAL_00100	CDS	573				hypothetical protein
KJIACEAL_00101	CDS	591				hypothetical protein
KJIACEAL_00102	CDS	1440				hypothetical protein
KJIACEAL_00103	CDS	753	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
KJIACEAL_00104	CDS	1656				hypothetical protein
KJIACEAL_00105	CDS	435				hypothetical protein
KJIACEAL_00106	CDS	1011	prsA1	5.2.1.8	COG0760	Foldase protein PrsA 1
KJIACEAL_00107	CDS	1206		2.3.1.9		putative acetyl-CoA acyltransferase
KJIACEAL_00108	CDS	1356				hypothetical protein
KJIACEAL_00109	CDS	1386	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
KJIACEAL_00110	CDS	495	rplI		COG0359	50S ribosomal protein L9
KJIACEAL_00111	CDS	291	rpsR			30S ribosomal protein S18
KJIACEAL_00112	CDS	438				Single-stranded DNA-binding protein
KJIACEAL_00113	CDS	396	rpsF			30S ribosomal protein S6
KJIACEAL_00114	CDS	1698	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
KJIACEAL_00115	CDS	690				hypothetical protein
KJIACEAL_00116	CDS	1284		3.4.24.-	COG0750	Putative zinc metalloprotease
KJIACEAL_00117	CDS	906				hypothetical protein
KJIACEAL_00118	CDS	693	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
KJIACEAL_00119	CDS	555	frr		COG0233	Ribosome-recycling factor
KJIACEAL_00120	CDS	837	tsf		COG0264	Elongation factor Ts
KJIACEAL_00121	CDS	765	rpsB		COG0052	30S ribosomal protein S2
KJIACEAL_00122	CDS	600	yhdE		COG0424	Maf-like protein YhdE
KJIACEAL_00123	CDS	279				hypothetical protein
KJIACEAL_00124	CDS	768				hypothetical protein
KJIACEAL_00125	CDS	603				hypothetical protein
KJIACEAL_00126	CDS	1662	rpsA		COG0539	30S ribosomal protein S1
KJIACEAL_00127	CDS	657	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
KJIACEAL_00128	CDS	762	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
KJIACEAL_00129	CDS	804				hypothetical protein
KJIACEAL_00130	CDS	1071	recA		COG0468	Protein RecA
KJIACEAL_00131	CDS	2706	greA			Transcription elongation factor GreA
KJIACEAL_00132	CDS	945				hypothetical protein
KJIACEAL_00133	CDS	1146				hypothetical protein
KJIACEAL_00134	CDS	1371	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
KJIACEAL_00135	CDS	1878	spoVD		COG0768	Stage V sporulation protein D
KJIACEAL_00136	CDS	1896		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
KJIACEAL_00137	CDS	294				hypothetical protein
KJIACEAL_00138	CDS	3258	mdtC		COG0841	Multidrug resistance protein MdtC
KJIACEAL_00139	CDS	978	mdtA			Multidrug resistance protein MdtA
KJIACEAL_00140	CDS	1275				hypothetical protein
KJIACEAL_00141	CDS	204				hypothetical protein
KJIACEAL_00142	CDS	900				hypothetical protein
KJIACEAL_00143	CDS	900	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
KJIACEAL_00144	CDS	1119	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
KJIACEAL_00145	CDS	1005	fla		COG1344	Flagellar filament 41 kDa core protein
KJIACEAL_00146	CDS	2001				hypothetical protein
KJIACEAL_00147	CDS	1206	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
KJIACEAL_00148	CDS	804	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
KJIACEAL_00149	CDS	612	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
KJIACEAL_00150	CDS	2697	secA		COG0653	Protein translocase subunit SecA
KJIACEAL_00151	CDS	1134				hypothetical protein
KJIACEAL_00152	CDS	426				hypothetical protein
KJIACEAL_00153	CDS	417				hypothetical protein
KJIACEAL_00154	CDS	1101	alr1	5.1.1.1	COG0787	Alanine racemase 1
KJIACEAL_00155	CDS	1596				hypothetical protein
KJIACEAL_00156	CDS	168				hypothetical protein
KJIACEAL_00157	CDS	1752				hypothetical protein
KJIACEAL_00158	CDS	978	yrbG		COG0530	Inner membrane protein YrbG
KJIACEAL_00159	CDS	1851				hypothetical protein
KJIACEAL_00160	CDS	1482	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
KJIACEAL_00161	CDS	1158				hypothetical protein
KJIACEAL_00162	CDS	384	dksA			RNA polymerase-binding transcription factor DksA
KJIACEAL_00163	CDS	222	infA		COG0361	Translation initiation factor IF-1
KJIACEAL_00164	CDS	2046				hypothetical protein
KJIACEAL_00165	CDS	588				hypothetical protein
KJIACEAL_00166	CDS	990				hypothetical protein
KJIACEAL_00167	CDS	1002				hypothetical protein
KJIACEAL_00168	CDS	903				hypothetical protein
KJIACEAL_00169	CDS	882				hypothetical protein
KJIACEAL_00170	CDS	993				hypothetical protein
KJIACEAL_00171	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
KJIACEAL_00172	CDS	1863	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
KJIACEAL_00173	CDS	1395	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
KJIACEAL_00174	CDS	495				hypothetical protein
KJIACEAL_00175	CDS	1884	flgK		COG1256	Flagellar hook-associated protein 1
KJIACEAL_00176	CDS	1272				hypothetical protein
KJIACEAL_00177	CDS	393	fliW		COG1699	Flagellar assembly factor FliW
KJIACEAL_00178	CDS	237	csrA			Carbon storage regulator
KJIACEAL_00179	CDS	663				hypothetical protein
KJIACEAL_00180	CDS	429	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
KJIACEAL_00181	CDS	261				hypothetical protein
KJIACEAL_00182	CDS	348	rplT		COG0292	50S ribosomal protein L20
KJIACEAL_00183	CDS	198	rpmI		COG0291	50S ribosomal protein L35
KJIACEAL_00184	CDS	561	infC		COG0290	Translation initiation factor IF-3
KJIACEAL_00185	CDS	663				hypothetical protein
KJIACEAL_00186	CDS	759				hypothetical protein
KJIACEAL_00187	CDS	798	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
KJIACEAL_00188	CDS	1143	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
KJIACEAL_00189	CDS	1074	prfA		COG0216	Peptide chain release factor RF1
KJIACEAL_00190	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
KJIACEAL_00191	CDS	2004				hypothetical protein
KJIACEAL_00192	CDS	2244				hypothetical protein
KJIACEAL_00193	CDS	1095	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
KJIACEAL_00194	CDS	1527	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
KJIACEAL_00195	tRNA	73				tRNA-Cys(gca)
KJIACEAL_00196	CDS	1242				hypothetical protein
KJIACEAL_00197	CDS	933	hflK		COG0330	Modulator of FtsH protease HflK
KJIACEAL_00198	CDS	972	hflC		COG0330	Modulator of FtsH protease HflC
KJIACEAL_00199	tRNA	73				tRNA-Phe(gaa)
KJIACEAL_00200	CDS	1545				hypothetical protein
KJIACEAL_00201	CDS	546	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
KJIACEAL_00202	CDS	834	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
KJIACEAL_00203	CDS	1713				hypothetical protein
KJIACEAL_00204	CDS	2088				hypothetical protein
KJIACEAL_00205	CDS	2355	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
KJIACEAL_00206	CDS	1839	mutL			DNA mismatch repair protein MutL
KJIACEAL_00207	CDS	1041				hypothetical protein
KJIACEAL_00208	tRNA	74				tRNA-Met(cat)
KJIACEAL_00209	CDS	594				hypothetical protein
KJIACEAL_00210	CDS	579	efp		COG0231	Elongation factor P
KJIACEAL_00211	CDS	852	pstS		COG0226	Phosphate-binding protein PstS
KJIACEAL_00212	CDS	909				hypothetical protein
KJIACEAL_00213	CDS	1542				hypothetical protein
KJIACEAL_00214	CDS	765	pstB3	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB 3
KJIACEAL_00215	CDS	822	zupT		COG0428	Zinc transporter ZupT
KJIACEAL_00216	CDS	1782				hypothetical protein
KJIACEAL_00217	CDS	1218	fliG_1		COG1536	Flagellar motor switch protein FliG
KJIACEAL_00218	CDS	702	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
KJIACEAL_00219	CDS	690				hypothetical protein
KJIACEAL_00220	CDS	1008	dus_1	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
KJIACEAL_00221	CDS	1275	serS	6.1.1.11	COG0172	Serine--tRNA ligase
KJIACEAL_00222	CDS	717				hypothetical protein
KJIACEAL_00223	CDS	2919				hypothetical protein
KJIACEAL_00224	CDS	249	rpmE2		COG0254	50S ribosomal protein L31 type B
KJIACEAL_00225	CDS	1545	rho	3.6.4.-	COG1158	Transcription termination factor Rho
KJIACEAL_00226	CDS	408				hypothetical protein
KJIACEAL_00227	CDS	327	hup		COG0776	DNA-binding protein HU
KJIACEAL_00228	CDS	258	rpsT		COG0268	30S ribosomal protein S20
KJIACEAL_00229	CDS	843				hypothetical protein
KJIACEAL_00230	CDS	1107	ychF		COG0012	Ribosome-binding ATPase YchF
KJIACEAL_00231	CDS	2064				hypothetical protein
KJIACEAL_00232	CDS	1554	lnt	2.3.1.-		Apolipoprotein N-acyltransferase
KJIACEAL_00233	CDS	765				hypothetical protein
KJIACEAL_00234	CDS	603		2.7.1.113	COG1428	Deoxyguanosine kinase
KJIACEAL_00235	CDS	315				hypothetical protein
KJIACEAL_00236	CDS	777	pduF		COG0580	Propanediol diffusion facilitator
KJIACEAL_00237	CDS	1488	glpK	2.7.1.30	COG0554	Glycerol kinase
KJIACEAL_00238	CDS	1371	glpT		COG2271	Glycerol-3-phosphate transporter
KJIACEAL_00239	CDS	1023	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
KJIACEAL_00240	CDS	1563	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
KJIACEAL_00241	CDS	495				hypothetical protein
KJIACEAL_00242	CDS	552				hypothetical protein
KJIACEAL_00243	CDS	1029				hypothetical protein
KJIACEAL_00244	CDS	600		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
KJIACEAL_00245	CDS	1770	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
KJIACEAL_00246	CDS	705	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
KJIACEAL_00247	CDS	609			COG0586	Inner membrane protein
KJIACEAL_00248	tRNA	85				tRNA-Leu(gag)
KJIACEAL_00249	CDS	2529	leuS	6.1.1.4		Leucine--tRNA ligase
KJIACEAL_00250	CDS	2286				hypothetical protein
KJIACEAL_00251	CDS	2421	lon1_1	3.4.21.53	COG0466	Lon protease 1
KJIACEAL_00252	CDS	687				hypothetical protein
KJIACEAL_00253	CDS	2115				hypothetical protein
KJIACEAL_00254	CDS	939				hypothetical protein
KJIACEAL_00255	CDS	210	rpsU			30S ribosomal protein S21
KJIACEAL_00256	CDS	2301				hypothetical protein
KJIACEAL_00257	CDS	795	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
KJIACEAL_00258	CDS	2130	mltC			Membrane-bound lytic murein transglycosylase C
KJIACEAL_00259	CDS	1188				hypothetical protein
KJIACEAL_00260	CDS	1383	lapB			Lipopolysaccharide assembly protein B
KJIACEAL_00261	CDS	1254				hypothetical protein
KJIACEAL_00262	CDS	504	spsB	3.4.21.89		Signal peptidase IB
KJIACEAL_00263	CDS	1509	dnaK_1		COG0443	Chaperone protein DnaK
KJIACEAL_00264	CDS	498				hypothetical protein
KJIACEAL_00265	CDS	312				hypothetical protein
KJIACEAL_00266	CDS	1899				hypothetical protein
KJIACEAL_00267	CDS	492				hypothetical protein
KJIACEAL_00268	CDS	888	ylxH_1		COG0455	Flagellum site-determining protein YlxH
KJIACEAL_00269	CDS	1167	flhF		COG1419	Flagellar biosynthesis protein FlhF
KJIACEAL_00270	CDS	2088	flhA		COG1298	Flagellar biosynthesis protein FlhA
KJIACEAL_00271	CDS	1122	flhB		COG1377	Flagellar biosynthetic protein FlhB
KJIACEAL_00272	CDS	789				hypothetical protein
KJIACEAL_00273	CDS	264				hypothetical protein
KJIACEAL_00274	CDS	765	fliP		COG1338	Flagellar biosynthetic protein FliP
KJIACEAL_00275	CDS	642				hypothetical protein
KJIACEAL_00276	CDS	345				hypothetical protein
KJIACEAL_00277	CDS	1059	fliM		COG1868	Flagellar motor switch protein FliM
KJIACEAL_00278	CDS	534				hypothetical protein
KJIACEAL_00279	CDS	786				hypothetical protein
KJIACEAL_00280	CDS	786	pomA		COG1291	Chemotaxis protein PomA
KJIACEAL_00281	CDS	222	swrD		COG1582	Swarming motility protein SwrD
KJIACEAL_00282	CDS	1329	flgE		COG1749	Flagellar hook protein FlgE
KJIACEAL_00283	CDS	435				hypothetical protein
KJIACEAL_00284	CDS	1170				hypothetical protein
KJIACEAL_00285	CDS	615				hypothetical protein
KJIACEAL_00286	CDS	432				hypothetical protein
KJIACEAL_00287	CDS	1308	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
KJIACEAL_00288	CDS	921				hypothetical protein
KJIACEAL_00289	CDS	1035	fliG_2		COG1536	Flagellar motor switch protein FliG
KJIACEAL_00290	CDS	1707				hypothetical protein
KJIACEAL_00291	CDS	330	fliE			Flagellar hook-basal body complex protein FliE
KJIACEAL_00292	CDS	459	flgC		COG1558	Flagellar basal-body rod protein FlgC
KJIACEAL_00293	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
KJIACEAL_00294	CDS	1353	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
KJIACEAL_00295	CDS	543	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
KJIACEAL_00296	CDS	945				hypothetical protein
KJIACEAL_00297	CDS	690				hypothetical protein
KJIACEAL_00298	CDS	1221	ftsZ		COG0206	Cell division protein FtsZ
KJIACEAL_00299	CDS	1242	ftsA		COG0849	Cell division protein FtsA
KJIACEAL_00300	CDS	744	divIB			Cell division protein DivIB
KJIACEAL_00301	CDS	1095	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
KJIACEAL_00302	CDS	1056	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
KJIACEAL_00303	CDS	1392	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
KJIACEAL_00304	CDS	282	ftsL			Cell division protein FtsL
KJIACEAL_00305	CDS	894	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
KJIACEAL_00306	CDS	822				hypothetical protein
KJIACEAL_00307	CDS	1068				hypothetical protein
KJIACEAL_00308	CDS	759				hypothetical protein
KJIACEAL_00309	CDS	1659	recN		COG0497	DNA repair protein RecN
KJIACEAL_00310	CDS	837	nadK	2.7.1.23		NAD kinase
KJIACEAL_00311	CDS	531	cheW_1		COG0835	Chemotaxis protein CheW
KJIACEAL_00312	CDS	594	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
KJIACEAL_00313	CDS	1047				hypothetical protein
KJIACEAL_00314	CDS	684				hypothetical protein
KJIACEAL_00315	CDS	807				hypothetical protein
KJIACEAL_00316	CDS	933				hypothetical protein
KJIACEAL_00317	CDS	1458	mglA	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
KJIACEAL_00318	CDS	1065			COG1744	Membrane lipoprotein TpN38(b)
KJIACEAL_00319	CDS	1086				hypothetical protein
KJIACEAL_00320	CDS	135				hypothetical protein
KJIACEAL_00321	CDS	1122				hypothetical protein
KJIACEAL_00322	CDS	357				hypothetical protein
KJIACEAL_00323	CDS	1122				hypothetical protein
KJIACEAL_00324	CDS	2859				hypothetical protein
KJIACEAL_00325	CDS	894				hypothetical protein
KJIACEAL_00326	CDS	1602	oppA_1		COG4166	Periplasmic oligopeptide-binding protein
KJIACEAL_00327	CDS	1587	oppA_2		COG4166	Periplasmic oligopeptide-binding protein
KJIACEAL_00328	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
KJIACEAL_00329	CDS	1053				hypothetical protein
KJIACEAL_00330	CDS	873	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
KJIACEAL_00331	CDS	993	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
KJIACEAL_00332	CDS	756				hypothetical protein
KJIACEAL_00333	CDS	1302	eno	4.2.1.11		Enolase
KJIACEAL_00334	CDS	411	rpsI		COG0103	30S ribosomal protein S9
KJIACEAL_00335	CDS	450	rplM		COG0102	50S ribosomal protein L13
KJIACEAL_00336	CDS	786				hypothetical protein
KJIACEAL_00337	CDS	1458	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
KJIACEAL_00338	CDS	1434	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
KJIACEAL_00339	CDS	276				hypothetical protein
KJIACEAL_00340	CDS	2094	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
KJIACEAL_00341	CDS	1200				hypothetical protein
KJIACEAL_00342	CDS	657				hypothetical protein
KJIACEAL_00343	CDS	1416				hypothetical protein
KJIACEAL_00344	CDS	1434	pyk	2.7.1.40		Pyruvate kinase
KJIACEAL_00345	CDS	741				hypothetical protein
KJIACEAL_00346	CDS	279	rpmB		COG0227	50S ribosomal protein L28
KJIACEAL_00347	CDS	1560				hypothetical protein
KJIACEAL_00348	CDS	1116				hypothetical protein
KJIACEAL_00349	CDS	1794				hypothetical protein
KJIACEAL_00350	CDS	942				hypothetical protein
KJIACEAL_00351	CDS	486	carD		COG1329	RNA polymerase-binding transcription factor CarD
KJIACEAL_00352	CDS	594				hypothetical protein
KJIACEAL_00353	CDS	729				hypothetical protein
KJIACEAL_00354	CDS	1431				hypothetical protein
KJIACEAL_00355	CDS	225				hypothetical protein
KJIACEAL_00356	CDS	1134	ylxH_2		COG0455	Flagellum site-determining protein YlxH
KJIACEAL_00357	CDS	960	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
KJIACEAL_00358	CDS	1992	pdeA	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeA
KJIACEAL_00359	CDS	1377	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
KJIACEAL_00360	CDS	264				hypothetical protein
KJIACEAL_00361	CDS	1053	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
KJIACEAL_00362	CDS	2286	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
KJIACEAL_00363	CDS	1221	tyrS	6.1.1.1		Tyrosine--tRNA ligase
KJIACEAL_00364	CDS	1338	glyQS	6.1.1.14		Glycine--tRNA ligase
KJIACEAL_00365	CDS	1476	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
KJIACEAL_00366	CDS	780				hypothetical protein
KJIACEAL_00367	CDS	1140	PdeB	3.1.4.-	COG2206	Cyclic di-GMP phosphodiesterase PdeB
KJIACEAL_00368	CDS	714	mtnN_1	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
KJIACEAL_00369	CDS	1170	metK	2.5.1.6		S-adenosylmethionine synthase
KJIACEAL_00370	CDS	474	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
KJIACEAL_00371	CDS	420	hit		COG0537	Protein hit
KJIACEAL_00372	CDS	1362			COG2239	Magnesium transporter MgtE
KJIACEAL_00373	CDS	1425				hypothetical protein
KJIACEAL_00374	CDS	1011	tmpC_1		COG1744	Membrane lipoprotein TmpC
KJIACEAL_00375	CDS	1071	tmpC_2		COG1744	Membrane lipoprotein TmpC
KJIACEAL_00376	CDS	1035	tmpC_3		COG1744	Membrane lipoprotein TmpC
KJIACEAL_00377	CDS	1020	tmpC_4		COG1744	Membrane lipoprotein TmpC
KJIACEAL_00378	CDS	474	rpsG		COG0049	30S ribosomal protein S7
KJIACEAL_00379	CDS	375	rpsL		COG0048	30S ribosomal protein S12
KJIACEAL_00380	CDS	4134	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
