locus_tag	ftype	length_bp	gene	EC_number	COG	product
JGCGDLPH_00088	CDS	951	ldhP	1.1.1.27		L-lactate dehydrogenase P
JGCGDLPH_00089	CDS	1806	lepA_1	3.6.5.-	COG0481	Elongation factor 4
JGCGDLPH_00090	CDS	981				hypothetical protein
JGCGDLPH_00091	CDS	435				hypothetical protein
JGCGDLPH_00092	CDS	1827				hypothetical protein
JGCGDLPH_00093	CDS	600	atpD			V-type ATP synthase subunit D
JGCGDLPH_00094	CDS	1305	ntpB			V-type sodium ATPase subunit B
JGCGDLPH_00095	CDS	1728	ntpA	3.6.3.15		V-type sodium ATPase catalytic subunit A
JGCGDLPH_00096	CDS	546				hypothetical protein
JGCGDLPH_00097	CDS	600	atpE			V-type proton ATPase subunit E
JGCGDLPH_00098	CDS	387				hypothetical protein
JGCGDLPH_00099	CDS	2337	mutS2	3.1.-.-	COG1193	Endonuclease MutS2
JGCGDLPH_00100	CDS	924	rsgA	3.6.1.-		Putative ribosome biogenesis GTPase RsgA
JGCGDLPH_00101	CDS	786	murI	5.1.1.3		Glutamate racemase
JGCGDLPH_00102	CDS	1389	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
JGCGDLPH_00103	CDS	522				hypothetical protein
JGCGDLPH_00104	CDS	264				hypothetical protein
JGCGDLPH_00105	CDS	333				hypothetical protein
JGCGDLPH_00106	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
JGCGDLPH_00107	CDS	756	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
JGCGDLPH_00108	CDS	1668				hypothetical protein
JGCGDLPH_00109	CDS	423				hypothetical protein
JGCGDLPH_00110	CDS	1011		5.2.1.8	COG0760	putative parvulin-type peptidyl-prolyl cis-trans isomerase
JGCGDLPH_00111	CDS	1239		2.3.1.9		putative acetyl-CoA acyltransferase
JGCGDLPH_00112	CDS	1365				hypothetical protein
JGCGDLPH_00113	CDS	1368	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
JGCGDLPH_00114	CDS	522	rplI		COG0359	50S ribosomal protein L9
JGCGDLPH_00115	CDS	237	rpsR			30S ribosomal protein S18
JGCGDLPH_00116	CDS	99				hypothetical protein
JGCGDLPH_00117	CDS	450	ssb		COG0629	Single-stranded DNA-binding protein
JGCGDLPH_00118	CDS	420	rpsF			30S ribosomal protein S6
JGCGDLPH_00119	CDS	1695	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
JGCGDLPH_00120	CDS	702				hypothetical protein
JGCGDLPH_00121	CDS	1254		3.4.24.-	COG0750	Putative zinc metalloprotease
JGCGDLPH_00122	CDS	843				hypothetical protein
JGCGDLPH_00123	CDS	693	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
JGCGDLPH_00124	CDS	555	frr		COG0233	Ribosome-recycling factor
JGCGDLPH_00125	CDS	840	tsf		COG0264	Elongation factor Ts
JGCGDLPH_00126	CDS	783	rpsB		COG0052	30S ribosomal protein S2
JGCGDLPH_00127	CDS	171				hypothetical protein
JGCGDLPH_00128	CDS	642				hypothetical protein
JGCGDLPH_00129	CDS	612				hypothetical protein
JGCGDLPH_00130	CDS	1656	rpsA		COG0539	30S ribosomal protein S1
JGCGDLPH_00131	CDS	666	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
JGCGDLPH_00132	CDS	750	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
JGCGDLPH_00133	CDS	768				hypothetical protein
JGCGDLPH_00134	CDS	1098	recA		COG0468	Protein RecA
JGCGDLPH_00135	CDS	2703	greA			Transcription elongation factor GreA
JGCGDLPH_00136	CDS	945				hypothetical protein
JGCGDLPH_00137	CDS	1128				hypothetical protein
JGCGDLPH_00138	CDS	1371	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
JGCGDLPH_00139	CDS	1893	spoVD		COG0768	Stage V sporulation protein D
JGCGDLPH_00140	CDS	1893		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
JGCGDLPH_00141	CDS	129				hypothetical protein
JGCGDLPH_00142	CDS	309				hypothetical protein
JGCGDLPH_00143	CDS	3213	swrC		COG0841	Swarming motility protein SwrC
JGCGDLPH_00144	CDS	954				hypothetical protein
JGCGDLPH_00145	CDS	1236				hypothetical protein
JGCGDLPH_00146	CDS	291	yidD			Putative membrane protein insertion efficiency factor
JGCGDLPH_00147	CDS	885				hypothetical protein
JGCGDLPH_00148	CDS	900	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
JGCGDLPH_00149	CDS	1119	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
JGCGDLPH_00150	CDS	1011	fla		COG1344	Flagellar filament 41 kDa core protein
JGCGDLPH_00151	CDS	1998				hypothetical protein
JGCGDLPH_00152	CDS	1206	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
JGCGDLPH_00153	CDS	807	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
JGCGDLPH_00154	CDS	612	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
JGCGDLPH_00155	CDS	2700	secA		COG0653	Protein translocase subunit SecA
JGCGDLPH_00156	CDS	1137				hypothetical protein
JGCGDLPH_00157	CDS	429				hypothetical protein
JGCGDLPH_00158	CDS	417				hypothetical protein
JGCGDLPH_00159	CDS	735				hypothetical protein
JGCGDLPH_00160	CDS	675				hypothetical protein
JGCGDLPH_00161	CDS	1101	alr1	5.1.1.1	COG0787	Alanine racemase 1
JGCGDLPH_00162	CDS	1602				hypothetical protein
JGCGDLPH_00163	CDS	168				hypothetical protein
JGCGDLPH_00164	CDS	1749				hypothetical protein
JGCGDLPH_00165	CDS	987	yrbG		COG0530	Inner membrane protein YrbG
JGCGDLPH_00166	CDS	1845				hypothetical protein
JGCGDLPH_00167	CDS	1521	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
JGCGDLPH_00168	CDS	1170				hypothetical protein
JGCGDLPH_00169	CDS	378	dksA			RNA polymerase-binding transcription factor DksA
JGCGDLPH_00170	CDS	273	infA			Translation initiation factor IF-1
JGCGDLPH_00171	CDS	243				hypothetical protein
JGCGDLPH_00172	CDS	1818				hypothetical protein
JGCGDLPH_00173	CDS	588				hypothetical protein
JGCGDLPH_00174	CDS	987				hypothetical protein
JGCGDLPH_00175	CDS	1002				hypothetical protein
JGCGDLPH_00176	CDS	900				hypothetical protein
JGCGDLPH_00177	CDS	339				hypothetical protein
JGCGDLPH_00178	CDS	525				hypothetical protein
JGCGDLPH_00179	CDS	993				hypothetical protein
JGCGDLPH_00180	CDS	627	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
JGCGDLPH_00181	CDS	1866	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
JGCGDLPH_00182	CDS	1395	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
JGCGDLPH_00183	CDS	495				hypothetical protein
JGCGDLPH_00184	CDS	1884				hypothetical protein
JGCGDLPH_00185	CDS	1275				hypothetical protein
JGCGDLPH_00186	CDS	399	fliW		COG1699	Flagellar assembly factor FliW
JGCGDLPH_00187	CDS	246	csrA			Carbon storage regulator
JGCGDLPH_00188	CDS	654				hypothetical protein
JGCGDLPH_00189	CDS	414	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
JGCGDLPH_00190	CDS	261				hypothetical protein
JGCGDLPH_00191	CDS	348	rplT		COG0292	50S ribosomal protein L20
JGCGDLPH_00192	CDS	201	rpmI		COG0291	50S ribosomal protein L35
JGCGDLPH_00193	CDS	561	infC		COG0290	Translation initiation factor IF-3
JGCGDLPH_00194	CDS	654				hypothetical protein
JGCGDLPH_00195	CDS	756				hypothetical protein
JGCGDLPH_00196	CDS	810	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
JGCGDLPH_00197	CDS	1140	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JGCGDLPH_00198	CDS	459	prfA_1		COG0216	Peptide chain release factor 1
JGCGDLPH_00199	CDS	525	prfA_2		COG0216	Peptide chain release factor RF1
JGCGDLPH_00200	CDS	822	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
JGCGDLPH_00201	CDS	672	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
JGCGDLPH_00202	CDS	1215				hypothetical protein
JGCGDLPH_00203	CDS	1614				hypothetical protein
JGCGDLPH_00204	CDS	399				hypothetical protein
JGCGDLPH_00205	CDS	192	ddl_1	6.3.2.4	COG1181	D-alanine--D-alanine ligase
JGCGDLPH_00206	CDS	930	ddl_2	6.3.2.4	COG1181	D-alanine--D-alanine ligase
JGCGDLPH_00207	CDS	1518	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
JGCGDLPH_00208	tRNA	75				tRNA-Cys(gca)
JGCGDLPH_00209	CDS	1239				hypothetical protein
JGCGDLPH_00210	CDS	936	hflK		COG0330	Modulator of FtsH protease HflK
JGCGDLPH_00211	CDS	972	hflC		COG0330	Modulator of FtsH protease HflC
JGCGDLPH_00212	tRNA	73				tRNA-Phe(gaa)
JGCGDLPH_00213	tRNA	75				tRNA-Phe(gaa)
JGCGDLPH_00214	CDS	1551				hypothetical protein
JGCGDLPH_00215	CDS	570				hypothetical protein
JGCGDLPH_00216	CDS	837	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
JGCGDLPH_00217	CDS	1740				hypothetical protein
JGCGDLPH_00218	CDS	768				hypothetical protein
JGCGDLPH_00219	CDS	1389				hypothetical protein
JGCGDLPH_00220	CDS	786	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
JGCGDLPH_00221	CDS	1827	mutL			DNA mismatch repair protein MutL
JGCGDLPH_00222	CDS	774				hypothetical protein
JGCGDLPH_00223	tRNA	74				tRNA-Met(cat)
JGCGDLPH_00224	CDS	654				hypothetical protein
JGCGDLPH_00225	CDS	579	efp		COG0231	Elongation factor P
JGCGDLPH_00226	CDS	840	pstS		COG0226	Phosphate-binding protein PstS
JGCGDLPH_00227	CDS	909	pstC		COG0573	Phosphate transport system permease protein PstC
JGCGDLPH_00228	CDS	1545				hypothetical protein
JGCGDLPH_00229	CDS	783	pstB3	3.6.3.27	COG1117	Phosphate import ATP-binding protein PstB 3
JGCGDLPH_00230	CDS	684	zupT		COG0428	Zinc transporter ZupT
JGCGDLPH_00231	CDS	120				hypothetical protein
JGCGDLPH_00232	CDS	1785				hypothetical protein
JGCGDLPH_00233	CDS	1218	fliG_1		COG1536	Flagellar motor switch protein FliG
JGCGDLPH_00234	CDS	708	nagB_2	3.5.99.6		Glucosamine-6-phosphate deaminase
JGCGDLPH_00235	CDS	153				hypothetical protein
JGCGDLPH_00236	CDS	141				hypothetical protein
JGCGDLPH_00237	CDS	1008	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
JGCGDLPH_00238	CDS	141	serS_1	6.1.1.11		Serine--tRNA ligase
JGCGDLPH_00239	CDS	1143	serS_2	6.1.1.11	COG0172	Serine--tRNA ligase
JGCGDLPH_00240	CDS	717				hypothetical protein
JGCGDLPH_00241	CDS	2214				hypothetical protein
JGCGDLPH_00242	CDS	720				hypothetical protein
JGCGDLPH_00243	CDS	246	rpmE2		COG0254	50S ribosomal protein L31 type B
JGCGDLPH_00244	CDS	1548	rho	3.6.4.-	COG1158	Transcription termination factor Rho
JGCGDLPH_00245	CDS	408				hypothetical protein
JGCGDLPH_00246	CDS	327	hup		COG0776	DNA-binding protein HU
JGCGDLPH_00247	CDS	258	rpsT		COG0268	30S ribosomal protein S20
JGCGDLPH_00248	CDS	849				hypothetical protein
JGCGDLPH_00249	CDS	1107	ychF		COG0012	Ribosome-binding ATPase YchF
JGCGDLPH_00250	CDS	2007				hypothetical protein
JGCGDLPH_00251	CDS	1569	lnt	2.3.1.-		Apolipoprotein N-acyltransferase
JGCGDLPH_00252	CDS	774				hypothetical protein
JGCGDLPH_00253	CDS	603		2.7.1.113	COG1428	Deoxyguanosine kinase
JGCGDLPH_00254	CDS	765	glpF		COG0580	Glycerol uptake facilitator protein
JGCGDLPH_00255	CDS	1506	glpK	2.7.1.30	COG0554	Glycerol kinase
JGCGDLPH_00256	CDS	240				hypothetical protein
JGCGDLPH_00257	CDS	1569	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
JGCGDLPH_00258	CDS	294				hypothetical protein
JGCGDLPH_00259	CDS	555				hypothetical protein
JGCGDLPH_00260	CDS	1026				hypothetical protein
JGCGDLPH_00261	CDS	606		3.6.1.66		dITP/XTP pyrophosphatase
JGCGDLPH_00262	CDS	1773	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
JGCGDLPH_00263	CDS	705	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
JGCGDLPH_00264	CDS	615			COG0586	Inner membrane protein
JGCGDLPH_00265	tRNA	87				tRNA-Leu(gag)
JGCGDLPH_00266	CDS	2523	leuS	6.1.1.4		Leucine--tRNA ligase
JGCGDLPH_00267	CDS	240				hypothetical protein
JGCGDLPH_00268	CDS	2028				hypothetical protein
JGCGDLPH_00269	CDS	2421	lon1_1	3.4.21.53	COG0466	Lon protease 1
JGCGDLPH_00270	CDS	2121				hypothetical protein
JGCGDLPH_00271	CDS	945				hypothetical protein
JGCGDLPH_00272	CDS	210	rpsU			30S ribosomal protein S21
JGCGDLPH_00273	CDS	2352				hypothetical protein
JGCGDLPH_00274	CDS	795	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
JGCGDLPH_00275	CDS	2169	mltC			Membrane-bound lytic murein transglycosylase C
JGCGDLPH_00276	CDS	1011				hypothetical protein
JGCGDLPH_00277	CDS	1383				hypothetical protein
JGCGDLPH_00278	CDS	1146				hypothetical protein
JGCGDLPH_00279	CDS	507	spsB	3.4.21.89		Signal peptidase IB
JGCGDLPH_00280	CDS	1470	dnaK_1		COG0443	Chaperone protein DnaK
JGCGDLPH_00281	CDS	522				hypothetical protein
JGCGDLPH_00282	CDS	303				hypothetical protein
JGCGDLPH_00283	CDS	1905				hypothetical protein
JGCGDLPH_00284	CDS	309				hypothetical protein
JGCGDLPH_00285	CDS	162				hypothetical protein
JGCGDLPH_00286	CDS	888	ylxH		COG0455	Flagellum site-determining protein YlxH
JGCGDLPH_00287	CDS	1167	flhF		COG1419	Flagellar biosynthesis protein FlhF
JGCGDLPH_00288	CDS	2091	flhA		COG1298	Flagellar biosynthesis protein FlhA
JGCGDLPH_00289	CDS	1119	flhB		COG1377	Flagellar biosynthetic protein FlhB
JGCGDLPH_00290	CDS	435				hypothetical protein
JGCGDLPH_00291	CDS	228				hypothetical protein
JGCGDLPH_00292	CDS	264				hypothetical protein
JGCGDLPH_00293	CDS	765	fliP		COG1338	Flagellar biosynthetic protein FliP
JGCGDLPH_00294	CDS	627				hypothetical protein
JGCGDLPH_00295	CDS	342				hypothetical protein
JGCGDLPH_00296	CDS	1059	fliM		COG1868	Flagellar motor switch protein FliM
JGCGDLPH_00297	CDS	537				hypothetical protein
JGCGDLPH_00298	CDS	783	motB		COG1360	Motility protein B
JGCGDLPH_00299	CDS	201				hypothetical protein
JGCGDLPH_00300	CDS	582	pomA		COG1291	Chemotaxis protein PomA
JGCGDLPH_00301	CDS	225	swrD		COG1582	Swarming motility protein SwrD
JGCGDLPH_00302	CDS	1329	flgE		COG1749	Flagellar hook protein FlgE
JGCGDLPH_00303	CDS	444				hypothetical protein
JGCGDLPH_00304	CDS	1185				hypothetical protein
JGCGDLPH_00305	CDS	618				hypothetical protein
JGCGDLPH_00306	CDS	432				hypothetical protein
JGCGDLPH_00307	CDS	600	yscN	3.6.3.14		putative ATP synthase YscN
JGCGDLPH_00308	CDS	669	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
JGCGDLPH_00309	CDS	921				hypothetical protein
JGCGDLPH_00310	CDS	1035	fliG_2		COG1536	Flagellar motor switch protein FliG
JGCGDLPH_00311	CDS	1710				hypothetical protein
JGCGDLPH_00312	CDS	336	fliE			Flagellar hook-basal body complex protein FliE
JGCGDLPH_00313	CDS	459	flgC		COG1558	Flagellar basal-body rod protein FlgC
JGCGDLPH_00314	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
JGCGDLPH_00315	CDS	1347	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
JGCGDLPH_00316	CDS	549	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
JGCGDLPH_00317	CDS	651				hypothetical protein
JGCGDLPH_00318	CDS	693				hypothetical protein
JGCGDLPH_00319	CDS	1200	ftsZ		COG0206	Cell division protein FtsZ
JGCGDLPH_00320	CDS	1242	ftsA		COG0849	Cell division protein FtsA
JGCGDLPH_00321	CDS	744	divIB			Cell division protein DivIB
JGCGDLPH_00322	CDS	1095	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
JGCGDLPH_00323	CDS	1056	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
JGCGDLPH_00324	CDS	1392	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JGCGDLPH_00325	CDS	282				hypothetical protein
JGCGDLPH_00326	CDS	891	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
JGCGDLPH_00327	CDS	837				hypothetical protein
JGCGDLPH_00328	CDS	1077				hypothetical protein
JGCGDLPH_00329	CDS	759				hypothetical protein
JGCGDLPH_00330	CDS	840	nadK	2.7.1.23		NAD kinase
JGCGDLPH_00331	CDS	531	cheW_1		COG0835	Chemotaxis protein CheW
JGCGDLPH_00332	CDS	198	rlmE_1	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
JGCGDLPH_00333	CDS	312	rlmE_2	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
JGCGDLPH_00334	CDS	1044				hypothetical protein
JGCGDLPH_00335	CDS	684				hypothetical protein
JGCGDLPH_00336	CDS	807				hypothetical protein
JGCGDLPH_00337	CDS	933				hypothetical protein
JGCGDLPH_00338	CDS	1461	mglA	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
JGCGDLPH_00339	CDS	507			COG1744	Membrane lipoprotein TpN38(b)
JGCGDLPH_00340	CDS	519			COG1744	Membrane lipoprotein TpN38(b)
JGCGDLPH_00341	CDS	240				hypothetical protein
JGCGDLPH_00342	CDS	1059				hypothetical protein
JGCGDLPH_00343	CDS	360				hypothetical protein
JGCGDLPH_00344	CDS	639				hypothetical protein
JGCGDLPH_00345	CDS	366				hypothetical protein
JGCGDLPH_00346	CDS	1110				hypothetical protein
JGCGDLPH_00347	CDS	2805				hypothetical protein
JGCGDLPH_00348	CDS	264				hypothetical protein
JGCGDLPH_00349	CDS	585				hypothetical protein
JGCGDLPH_00350	CDS	1572	oppA_1		COG4166	Periplasmic oligopeptide-binding protein
JGCGDLPH_00351	CDS	1584	oppA_2		COG4166	Periplasmic oligopeptide-binding protein
JGCGDLPH_00352	CDS	1626	oppA_3		COG4166	Periplasmic oligopeptide-binding protein
JGCGDLPH_00353	CDS	528	oppB_1		COG0601	Oligopeptide transport system permease protein OppB
JGCGDLPH_00354	CDS	351	oppB_2		COG0601	Oligopeptide transport system permease protein OppB
JGCGDLPH_00355	CDS	1050				hypothetical protein
JGCGDLPH_00356	CDS	876	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
JGCGDLPH_00357	CDS	972	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
JGCGDLPH_00358	CDS	756				hypothetical protein
JGCGDLPH_00359	CDS	1302	eno	4.2.1.11		Enolase
JGCGDLPH_00360	CDS	411	rpsI		COG0103	30S ribosomal protein S9
JGCGDLPH_00361	CDS	459	rplM		COG0102	50S ribosomal protein L13
JGCGDLPH_00362	CDS	588				hypothetical protein
JGCGDLPH_00363	CDS	219				hypothetical protein
JGCGDLPH_00364	CDS	1062	gatB_1	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JGCGDLPH_00365	CDS	402	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JGCGDLPH_00366	CDS	1446	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
JGCGDLPH_00367	CDS	276				hypothetical protein
JGCGDLPH_00368	CDS	2097	uvrD	3.6.4.12	COG0210	DNA helicase II
JGCGDLPH_00369	CDS	501				hypothetical protein
JGCGDLPH_00370	CDS	666				hypothetical protein
JGCGDLPH_00371	CDS	651				hypothetical protein
JGCGDLPH_00372	CDS	1419				hypothetical protein
JGCGDLPH_00373	CDS	1434	pyk	2.7.1.40		Pyruvate kinase
JGCGDLPH_00374	CDS	375				hypothetical protein
JGCGDLPH_00375	CDS	243				hypothetical protein
JGCGDLPH_00376	CDS	279	rpmB		COG0227	50S ribosomal protein L28
JGCGDLPH_00377	CDS	1563				hypothetical protein
JGCGDLPH_00378	CDS	1116				hypothetical protein
JGCGDLPH_00379	CDS	1800				hypothetical protein
JGCGDLPH_00380	CDS	951				hypothetical protein
