JGCGDLPH_00002 P40406
JGCGDLPH_00531 P08895
JGCGDLPH_00532 P12878
JGCGDLPH_00533 P12879
JGCGDLPH_00534 C5CC48
JGCGDLPH_00535 Q6N4U9
JGCGDLPH_00536 P21467
JGCGDLPH_00538 P04452
JGCGDLPH_00539 O66491
JGCGDLPH_00540 Q2FW29
JGCGDLPH_00541 P62655
JGCGDLPH_00542 Q2FW31
JGCGDLPH_00543 P20429
JGCGDLPH_00544 P0AG44
JGCGDLPH_00545 O31774
JGCGDLPH_00546 O31775
JGCGDLPH_00547 P9WJ62
JGCGDLPH_00549 P50743
JGCGDLPH_00555 Q4L5E3
JGCGDLPH_00556 Q728S0
JGCGDLPH_00557 P52215
JGCGDLPH_00558 Q7A794
JGCGDLPH_00559 P28616
JGCGDLPH_00560 P0C922
JGCGDLPH_00561 Q5KWZ6
JGCGDLPH_00562 Q03638
JGCGDLPH_00564 P0ADG4
JGCGDLPH_00567 Q81VX4
JGCGDLPH_00568 P46336
JGCGDLPH_00569 P80874
JGCGDLPH_00573 P16692
JGCGDLPH_00574 P37454
JGCGDLPH_00582 P0AAC4
JGCGDLPH_00583 Q5SHN5
JGCGDLPH_00591 Q9X1A7
JGCGDLPH_00592 P00582
JGCGDLPH_00595 P24072
JGCGDLPH_00596 O87703
JGCGDLPH_00597 P49421
JGCGDLPH_00602 P0AA04
JGCGDLPH_00603 P0A249
JGCGDLPH_00606 P22359
JGCGDLPH_00607 P80859
JGCGDLPH_00608 P70718
JGCGDLPH_00612 P0A964
JGCGDLPH_00614 Q52880
JGCGDLPH_00617 A0R3I8
JGCGDLPH_00621 P45073
JGCGDLPH_00623 P99072
JGCGDLPH_00627 Q9XDH5
JGCGDLPH_00629 P64325
JGCGDLPH_00633 Q8E186
JGCGDLPH_00635 P00959
JGCGDLPH_00636 A6T4W3
JGCGDLPH_00637 P39646
JGCGDLPH_00638 Q83AC2
JGCGDLPH_00641 O53521
JGCGDLPH_00642 Q54869
JGCGDLPH_00646 Q8Y776
JGCGDLPH_00647 O51545
JGCGDLPH_00649 Q5SI56
JGCGDLPH_00652 Q46839
JGCGDLPH_00653 P33013
JGCGDLPH_00655 P64319
JGCGDLPH_00656 P15288
JGCGDLPH_00662 Q5NH47
JGCGDLPH_00663 P9WPB9
JGCGDLPH_00664 P37945
JGCGDLPH_00665 P0A9M0
JGCGDLPH_00667 P62664
JGCGDLPH_00671 P19079
JGCGDLPH_00672 Q5SM25
JGCGDLPH_00675 Q46948
JGCGDLPH_00676 Q9WYB1
JGCGDLPH_00677 Q7A7B2
JGCGDLPH_00678 Q7A7B2
JGCGDLPH_00682 Q9HYZ3
JGCGDLPH_00684 P71012
JGCGDLPH_00685 Q833W9
JGCGDLPH_00690 P08394
JGCGDLPH_00693 P54547
JGCGDLPH_00696 P0AFK9
JGCGDLPH_00697 P0AFR9
JGCGDLPH_00698 P31135
JGCGDLPH_00699 Q7A679
JGCGDLPH_00700 O31743
JGCGDLPH_00701 P65517
JGCGDLPH_00702 Q7A807
JGCGDLPH_00706 P23033
JGCGDLPH_00710 E9RGS3
JGCGDLPH_00711 P0AG93
JGCGDLPH_00713 P36659
JGCGDLPH_00715 Q72J47
JGCGDLPH_00716 O51602
JGCGDLPH_00717 O51603
JGCGDLPH_00718 P64085
JGCGDLPH_00726 P21982
JGCGDLPH_00730 P24072
JGCGDLPH_00734 Q9HZ62
JGCGDLPH_00735 P37388
JGCGDLPH_00740 Q99TM8
JGCGDLPH_00742 Q9FD71
JGCGDLPH_00743 P50740
JGCGDLPH_00744 P13702
JGCGDLPH_00749 O51632
JGCGDLPH_00750 P45173
JGCGDLPH_00751 Q72I01
JGCGDLPH_00753 P37105
JGCGDLPH_00754 A2RJS1
JGCGDLPH_00755 P9WFM7
JGCGDLPH_00756 P44568
JGCGDLPH_00757 Q6G1R9
JGCGDLPH_00758 A2RLS5
JGCGDLPH_00760 Q9WZK0
JGCGDLPH_00762 O51647
JGCGDLPH_00763 Q9X0I6
JGCGDLPH_00764 Q7SIB1
JGCGDLPH_00770 P28306
JGCGDLPH_00773 P06224
JGCGDLPH_00776 P39751
JGCGDLPH_00780 Q97PI4
JGCGDLPH_00781 P9WFT5
JGCGDLPH_00782 P63756
JGCGDLPH_00785 O32081
JGCGDLPH_00788 Q8VU09
JGCGDLPH_00789 P37062
JGCGDLPH_00790 P54596
JGCGDLPH_00791 P0A6T1
JGCGDLPH_00794 Q73R77
JGCGDLPH_00795 P39153
JGCGDLPH_00797 P67717
JGCGDLPH_00798 P11931
JGCGDLPH_00801 Q8XCQ7
JGCGDLPH_00802 A0QSS3
JGCGDLPH_00803 P0A9U3
JGCGDLPH_00808 P46303
JGCGDLPH_00817 P54548
JGCGDLPH_00819 Q2G036
JGCGDLPH_00825 Q06065
JGCGDLPH_00826 O31661
JGCGDLPH_00829 P65482
JGCGDLPH_00831 Q7A4H8
JGCGDLPH_00832 P44863
JGCGDLPH_00834 P0A0J0
JGCGDLPH_00838 P0A1J3
JGCGDLPH_00839 P0A1J3
JGCGDLPH_00841 B0K969
JGCGDLPH_00842 P26908
JGCGDLPH_00844 A0R150
JGCGDLPH_00845 Q02GB1
JGCGDLPH_00846 P54455
JGCGDLPH_00848 P0AAT6
JGCGDLPH_00850 P28016
JGCGDLPH_00852 Q02G03
JGCGDLPH_00853 Q6YP15
JGCGDLPH_00855 P0AAI3
JGCGDLPH_00859 A7WYM2
JGCGDLPH_00861 O83346
JGCGDLPH_00863 Q5F5J4
JGCGDLPH_00868 P04766
JGCGDLPH_00869 P0A7G2
JGCGDLPH_00870 P9WHP7
JGCGDLPH_00871 P21473
JGCGDLPH_00872 Q83D87
JGCGDLPH_00876 P66905
JGCGDLPH_00881 P0ABQ0
JGCGDLPH_00882 P16256
JGCGDLPH_00883 P0AA39
JGCGDLPH_00885 Q9HW02
JGCGDLPH_00886 P44726
JGCGDLPH_00889 P16384
JGCGDLPH_00895 A0R5D9
JGCGDLPH_00898 Q93LQ8
JGCGDLPH_00900 P56690
JGCGDLPH_00901 Q2YSD6
JGCGDLPH_00902 P18159
JGCGDLPH_00903 P37954
JGCGDLPH_00904 P56981
JGCGDLPH_00905 P63383
JGCGDLPH_00910 Q5XAY2
JGCGDLPH_00911 P99073
