HNCCNNJP_00005 Q9RVD6
HNCCNNJP_00742 P0A6T1
HNCCNNJP_00745 Q73R77
HNCCNNJP_00746 P39153
HNCCNNJP_00748 P67717
HNCCNNJP_00749 P11931
HNCCNNJP_00751 Q8XCQ7
HNCCNNJP_00752 A0QSS3
HNCCNNJP_00753 P0A9U3
HNCCNNJP_00758 P46303
HNCCNNJP_00767 P54548
HNCCNNJP_00769 Q2G036
HNCCNNJP_00775 Q06065
HNCCNNJP_00776 O31661
HNCCNNJP_00779 P65482
HNCCNNJP_00781 Q7A4H8
HNCCNNJP_00783 P13445
HNCCNNJP_00787 P0A1J3
HNCCNNJP_00788 P0A1J3
HNCCNNJP_00790 B0K969
HNCCNNJP_00791 P26908
HNCCNNJP_00793 A0R150
HNCCNNJP_00794 Q02GB1
HNCCNNJP_00795 P54455
HNCCNNJP_00797 P0AAT6
HNCCNNJP_00798 P28016
HNCCNNJP_00800 Q02G03
HNCCNNJP_00801 Q6YP15
HNCCNNJP_00803 P0AAI3
HNCCNNJP_00807 A7WYM2
HNCCNNJP_00809 O83346
HNCCNNJP_00811 Q5F5J4
HNCCNNJP_00818 P21473
HNCCNNJP_00819 Q83D87
HNCCNNJP_00823 P66905
HNCCNNJP_00824 B7IE18
HNCCNNJP_00826 P0ABQ0
HNCCNNJP_00827 P16256
HNCCNNJP_00828 P0AA39
HNCCNNJP_00830 Q9HW02
HNCCNNJP_00831 P23839
HNCCNNJP_00834 P16384
HNCCNNJP_00840 A0R5D9
HNCCNNJP_00841 P0AG76
HNCCNNJP_00843 Q93LQ8
HNCCNNJP_00845 P56690
HNCCNNJP_00847 P18159
HNCCNNJP_00848 P37954
HNCCNNJP_00849 P63383
HNCCNNJP_00854 A8AYL1
HNCCNNJP_00855 P99073
HNCCNNJP_00859 P0AB65
HNCCNNJP_00861 O50979
HNCCNNJP_00862 P46317
HNCCNNJP_00863 P23532
HNCCNNJP_00864 P46318
HNCCNNJP_00870 P37522
HNCCNNJP_00873 P06202
HNCCNNJP_00874 P49058
HNCCNNJP_00875 B4RJH7
HNCCNNJP_00876 Q07337
HNCCNNJP_00877 O34987
HNCCNNJP_00878 O34987
HNCCNNJP_00884 P20166
HNCCNNJP_01045 P37522
HNCCNNJP_01175 P37522
HNCCNNJP_01208 Q72H90
HNCCNNJP_01213 P37522
HNCCNNJP_01218 P39153
HNCCNNJP_01265 P21875
HNCCNNJP_01274 P37522
HNCCNNJP_01298 O83097
HNCCNNJP_01315 Q72EX7
HNCCNNJP_01322 Q99TQ0
HNCCNNJP_01354 Q72EX7
HNCCNNJP_01356 Q72H90
HNCCNNJP_01389 Q72H90
HNCCNNJP_01395 O34392
HNCCNNJP_01416 P39153
HNCCNNJP_01430 P0CL66
HNCCNNJP_01431 P17739
HNCCNNJP_01438 O50917
HNCCNNJP_01439 P0CL68
HNCCNNJP_01444 P06202
HNCCNNJP_01481 Q9WYT0
